Sample,total_grams,Cnumber,grams,carbon,Type
MW,2.582696063,nC27,0.18158447,-29.0757394229892,archaeological
MW,2.582696063,nC29,0.23102137,-31.5132650349711,archaeological
MW,2.582696063,nC31,0.51838253,-31.6352853673515,archaeological
MW,2.582696063,nC33,0.5538509,-30.1290121531893,archaeological
MB,2.213356043,nC27,0.129664798,-29.6527426046531,archaeological
MB,2.213356043,nC29,0.188507476,-31.5166421299865,archaeological
MB,2.213356043,nC31,0.514511308,-32.1416394973245,archaeological
MB,2.213356043,nC33,0.552194161,-30.9644397971139,archaeological
MR,2.35571334,nC27,0.127328008,-28.7945842404628,archaeological
MR,2.35571334,nC29,0.191517608,-31.6790093197878,archaeological
MR,2.35571334,nC31,0.576192253,-32.1148930626799,archaeological
MR,2.35571334,nC33,0.612149061,-30.2964511648446,archaeological
Control,2.224115294,nC27,0.099240368,-32.139297129156,control
Control,2.224115294,nC29,0.177795709,-33.1327460019529,control
Control,2.224115294,nC31,0.602568548,-32.9670017171362,control
Control,2.224115294,nC33,0.629724119,-30.7791093684825,control
